,newold,stock,sleeps,length,price,location,horsepower
735,New,Stock # 1992781,5,33 ft 9 in,158857.0,"Las Vegas, NV",
736,New,Stock # 1993942,2,19 ft 7 in,159995.0,"Greenwood, IN",188
737,New,Stock # 2169959,2,19 ft 7 in,159995.0,"Fresno, CA",188
738,New,Stock # 2152281,2,19 ft 7 in,159957.0,"Idaho Falls, ID",188
739,New,Stock # 2170311,2,19 ft 7 in,159957.0,"Tulsa, OK",188
740,New,Stock # 2024124,5,25 ft 8 in,159457.0,"Roseville, CA",188
741,New,Stock # 2104777,5,25 ft 8 in,159657.0,"Akron, OH",188
742,New,Stock # 2024144,5,25 ft 8 in,154057.0,"Vacaville, CA",
743,New,Stock # 2159883,5,24 ft 9 in,154057.0,"London, KY",
744,New,Stock # 2195483,5,25 ft 2 in,155857.0,"Colton, CA",
745,New,Stock # 2014892  VIN:GCE24FB0018508,5,25 ft 8 in,155157.0,"Hillsboro, OR",
746,New,Stock # 2024145,5,24 ft 9 in,156157.0,"Vacaville, CA",
747,New,Stock # 2024151,5,24 ft 9 in,156257.0,"Fresno, CA",
748,New,Stock # 2028999,6,25 ft 5 in,159995.0,"Katy, TX",188
749,New,Stock # 2179123,6,25 ft 5 in,159995.0,"Katy, TX",188
750,New,Stock # 2179140,6,25 ft 5 in,159995.0,"Las Vegas, NV",188
751,New,Stock # 2179188,4,25 ft 5 in,159995.0,"Vacaville, CA",188
752,New,Stock # 2179189,4,25 ft 5 in,159995.0,"Vacaville, CA",188
753,New,Stock # 2195482,5,25 ft 2 in,158457.0,"Colton, CA",
754,New,Stock # 2207498,2,19 ft 7 in,159957.0,"Katy, TX",188
755,New,Stock # 1992781,5,33 ft 9 in,158857.0,"Las Vegas, NV",
756,New,Stock # 1993942,2,19 ft 7 in,159995.0,"Greenwood, IN",188
757,New,Stock # 2169959,2,19 ft 7 in,159995.0,"Fresno, CA",188
758,New,Stock # 2152281,2,19 ft 7 in,159957.0,"Idaho Falls, ID",188
759,New,Stock # 2170311,2,19 ft 7 in,159957.0,"Tulsa, OK",188
760,New,Stock # 2024124,5,25 ft 8 in,159457.0,"Roseville, CA",188
761,New,Stock # 2104777,5,25 ft 8 in,159657.0,"Akron, OH",188
762,New,Stock # 2024144,5,25 ft 8 in,154057.0,"Vacaville, CA",
763,New,Stock # 2159883,5,24 ft 9 in,154057.0,"London, KY",
764,New,Stock # 2195483,5,25 ft 2 in,155857.0,"Colton, CA",
765,New,Stock # 2014892  VIN:GCE24FB0018508,5,25 ft 8 in,155157.0,"Hillsboro, OR",
766,New,Stock # 2024145,5,24 ft 9 in,156157.0,"Vacaville, CA",
767,New,Stock # 2024151,5,24 ft 9 in,156257.0,"Fresno, CA",
768,New,Stock # 2028999,6,25 ft 5 in,159995.0,"Katy, TX",188
769,New,Stock # 2179123,6,25 ft 5 in,159995.0,"Katy, TX",188
770,New,Stock # 2179140,6,25 ft 5 in,159995.0,"Las Vegas, NV",188
771,New,Stock # 2179188,4,25 ft 5 in,159995.0,"Vacaville, CA",188
772,New,Stock # 2179189,4,25 ft 5 in,159995.0,"Vacaville, CA",188
773,New,Stock # 2195482,5,25 ft 2 in,158457.0,"Colton, CA",
774,New,Stock # 2207498,2,19 ft 7 in,159957.0,"Katy, TX",188
775,New,Stock # 1992781,5,33 ft 9 in,158857.0,"Las Vegas, NV",
776,New,Stock # 1993942,2,19 ft 7 in,159995.0,"Greenwood, IN",188
